GeoCode,Country,Indicator,Year,Value,Unit
AS,American Samoa,Sea Surface Temperature anomalies,1927,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1928,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1929,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1930,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1931,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1932,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1933,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1934,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1935,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1936,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1937,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1938,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1939,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1940,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1941,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1942,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1943,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1944,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1945,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1946,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1947,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1948,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1949,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1950,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1951,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1952,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1953,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1954,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1955,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1956,-0.3,Celsius (°C)
